BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202102,15,2357,202102,15,2358,156532,950756,"NORTH CAROLINA",37,2021,"February","Thunderstorm Wind","C",19,"BRUNSWICK","ILM","15-FEB-21 23:57:00","EST-5","15-FEB-21 23:58:00","0","0","0","0","0.00K","0.00K","NWS Storm Survey","96.00","EG",,,,,,,,,,"4","S","CAMP BRANCH","4","S","CAMP BRANCH","34.127","-78.3541","34.1278","-78.3508","Strong low pressure and a cold front produced an EF-3 tornado.","A few hundred trees were snapped or uprooted by a microburst west of|the Bear Pen Airstrip. This damage occurred near, but separate from|the path of the tornado that damaged the Ocean Ridge Plantation |neighborhood about 20 minutes earlier.","CSV"
202106,3,1842,202106,3,1845,161414,974816,"IDAHO",16,2021,"June","Thunderstorm Wind","C",45,"GEM","BOI","03-JUN-21 18:42:00","MST-7","03-JUN-21 18:45:00","0","0","0","0","0.00K","0.00K","Public","50.00","EG",,,,,,,,,,"1","SE","LETHA","2","ESE","LETHA","43.89","-116.64","43.8895","-116.6058","Sufficient daytime heating lead to isolated afternoon thunderstorms that turned severe over Southwest Idaho.","Branches knocked down with photo. Personal Weather Station read 58 MPH gust.","CSV"
202106,22,1850,202106,22,1855,161423,974825,"OREGON",41,2021,"June","Thunderstorm Wind","C",45,"MALHEUR","BOI","22-JUN-21 18:50:00","MST-7","22-JUN-21 18:55:00","0","0","0","0","0.00K","0.00K","ASOS","54.00","MG",,,,,,,,,,"2","NE","LUSE","0","NW","ONTARIO","44.02","-117.02","44.031","-116.9711","Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.","The ASOS at Ontario reported a 62 MPH thunderstorm wind gust.","CSV"
202102,7,1600,202102,7,1600,157970,954745,"PUERTO RICO",99,2021,"February","Rip Current","Z",1,"SAN JUAN AND VICINITY","SJU","07-FEB-21 16:00:00","AST-4","07-FEB-21 16:00:00","0","0","1","0","0.00K","0.00K","Newspaper",,,,,,,,,,,,,,,,,,,,,,"A tourist couple was swept by rip currents at La Concha Beach in Condado with the male victim drowning. A man drowned at Las Tortugas Beach in Dorado.","A tourist couple was swept by rip currents at La Concha Beach in Condado with the male victim drowning.","CSV"
202102,28,900,202102,28,900,157971,954749,"VIRGIN ISLANDS",96,2021,"February","Rip Current","Z",2,"ST. CROIX","SJU","28-FEB-21 09:00:00","AST-4","28-FEB-21 09:00:00","0","0","1","0","0.00K","0.00K","Newspaper",,,,,,,,,,,,,,,,,,,,,,"A tourist staying at the Carambola Beach Resort near Cane Bay on St. Croix drowned Sunday morning while diving in choppy waters near the resort���s beach.","A tourist staying at the Carambola Beach Resort near Cane Bay on St. Croix drowned Sunday morning while diving in choppy waters near the resort���s beach.","CSV"
202105,16,445,202105,16,1245,157424,952369,"KANSAS",20,2021,"May","Flash Flood","C",163,"ROOKS","GID","16-MAY-21 04:45:00","CST-6","16-MAY-21 12:45:00","0","0","0","0","0.00K","0.00K","Emergency Manager",,,"Heavy Rain",,,,,,,,,"6","NNE","ZURICH","7","E","CODELL","39.3036","-99.3694","39.2075","-99.0481","Persistent thunderstorms with heavy rain rates led to heavy rainfall and serious flooding in Osborne County during the early morning hours of May 16th. Highest rainfall totals included 8.16 from 1 WNW Codell, mainly between 1-4 AM CDT, 4.19 from 1 S Plainville, 4.11 from 13 SW of Tipton. The axis of heaviest rainfall occurred at the head of and alongside the Paradise Creek, which ultimately led to serious flash flooding of Natoma, Kansas in extreme SW Osborne County. The mayor stated that approximately 120 homes had moderate to severe damage, with another 15 likely a total loss. Approximately 22 businesses had water damage. Many people were displaced and had to be rescued from their homes. Comparisons were made to the flash flood event in 1993.||The upper level pattern consisted of diffluent and active zonal to southwest flow, with strong divergence noted in the right entrance region of 90kt 300mb jet streak running from the northern Plains into the Ohio River Valley. A strong 35-45kt low level jet developed during the late evening of the 15th and continued into the early morning hours of the 16th, with strong convergence noted on the nose of the low level jet over central and northern Kansas. The strong low level convergence, coupled with the strong upper level divergence promoted deep lift through the atmospheric column, amidst precipitable water values that peaked near 1.5���, which caused heavy rain rates. In addition, thunderstorms trained over the Paradise Creek basin particularly frequently, further promoting heavy rainfall amounts.","","CSV"
202106,22,2110,202106,22,2130,161424,974832,"IDAHO",16,2021,"June","Thunderstorm Wind","C",83,"TWIN FALLS","BOI","22-JUN-21 21:10:00","MST-7","22-JUN-21 21:30:00","0","0","0","0","0.00K","0.00K","ASOS","51.00","MG",,,,,,,,,,"1","W","(TWF)TWIN FALLS ARPT","2","W","BICKEL","42.48","-114.49","42.5062","-114.2463","Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.","The ASOS at Twin Falls reported a 59 MPH thunderstorm wind gust.","CSV"
202106,22,2057,202106,22,2120,161424,974833,"IDAHO",16,2021,"June","Thunderstorm Wind","C",85,"VALLEY","BOI","22-JUN-21 20:57:00","MST-7","22-JUN-21 21:20:00","0","0","0","0","0.00K","0.00K","ASOS","50.00","MG",,,,,,,,,,"1","W","MC CALL","8","E","MC CALL","44.9","-116.1","44.9147","-115.9248","Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.","The ASOS at McCall reported a 58 MPH thunderstorm wind gust.","CSV"
202105,27,100,202105,27,700,157834,953996,"INDIANA",18,2021,"May","Dense Fog","Z",81,"GIBSON","PAH","27-MAY-21 01:00:00","CST-6","27-MAY-21 07:00:00","0","0","0","0","0.00K","0.00K","ASOS",,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed southwest Indiana during the late night and early morning hours. Visibility was reduced to one-quarter mile or less. The fog formed under a weak ridge of high pressure that extended from the Great Lakes down across the lower Ohio Valley.","","CSV"
202106,28,1157,202106,28,1457,160228,968298,"KANSAS",20,2021,"June","Flash Flood","C",121,"MIAMI","EAX","28-JUN-21 11:57:00","CST-6","28-JUN-21 14:57:00","0","0","0","0","0.00K","0.00K","Law Enforcement",,,"Heavy Rain",,,,,,,,,"1","W","HENSON","2","E","HENSON","38.5","-94.86","38.4986","-94.819","Heavy rain produced some marginal flash flooding in Miami County Kansas and nearby Bates County Missouri.","Sheriff's office reported water over the road just east of Osawatomie.","CSV"
